resource,consumer
zooplankton,Cnidaria
Amphipoda,Congiopodus peruvianus
phytoplankton,Copepoda
Decapoda,Cottoperca gobio
Amphipoda,Cottoperca gobio
isopods,Cottoperca gobio
Gasteropods,Cottoperca gobio
Polychaeta,Cottoperca gobio
Peisos petrunkevitchi,Cynoscion guatucupa
Engraulis anchoita,Cynoscion guatucupa
Artemesia longinaris,Cynoscion guatucupa
Pleoticus muelleri,Cynoscion guatucupa
Trachurus lathami,Cynoscion guatucupa
Cynoscion guatucupa,Cynoscion guatucupa
Dules auriga,Cynoscion guatucupa
Xystreuris rasile,Cynoscion guatucupa
Raneya spp,Cynoscion guatucupa
Polychaeta,Cynoscion guatucupa
isopods,Cynoscion guatucupa
Amphipoda,Cynoscion guatucupa
Doryteuthis sanpaulensis,Cynoscion guatucupa
detritus,Cyrtograpsus spp
Diatomeas,Cyrtograpsus spp
Macroalgae ,Cyrtograpsus spp
Amphipoda,Cyrtograpsus spp
Polychaeta,Cyrtograpsus spp
Copepoda,Cyrtograpsus spp
Decapoda,Cyrtograpsus spp
detritus,Decapoda
Amphipoda,Dipturus chilensis
Congiopodus peruvianus,Dipturus chilensis
Engraulis anchoita,Dipturus chilensis
Enteroctopus megalocyathus,Dipturus chilensis
Genypterus blacodes,Dipturus chilensis
Illex argentinus,Dipturus chilensis
isopods,Dipturus chilensis
Libinia spinosa,Dipturus chilensis
Macruronus magellanicus,Dipturus chilensis
Munida gregaria,Dipturus chilensis
Paralichthys spp,Dipturus chilensis
Patagonotothen spp,Dipturus chilensis
Peltarion spinosulum,Dipturus chilensis
Pleoticus muelleri,Dipturus chilensis
Pterygosquilla armata armata,Dipturus chilensis
Raneya spp,Dipturus chilensis
Semirossia tenera,Dipturus chilensis
Sympterygia spp,Dipturus chilensis
Xystreuris rasile,Dipturus chilensis
Amphipoda,Discopyge tschudii
Munida gregaria,Discopyge tschudii
Peltarion spinosulum,Discopyge tschudii
Polychaeta,Discopyge tschudii
Pterygosquilla armata armata,Discopyge tschudii
Euphausiacea,Doryteuthis gahi
Munida gregaria,Doryteuthis gahi
Themisto gaudichaudii,Doryteuthis gahi
Chaetognatha,Doryteuthis gahi
Peisos petrunkevitchi,Doryteuthis sanpaulensis
Decapoda,Doryteuthis sanpaulensis
Artemesia longinaris,Doryteuthis sanpaulensis
Doryteuthis sanpaulensis,Doryteuthis sanpaulensis
Amphipoda,Dules auriga
Decapoda,Dules auriga
isopods,Dules auriga
Polychaeta,Dules auriga
Munida gregaria,Dules auriga
biofilm,echinoids
POM,Echiurids
detritus,Echiurids
Amphipoda,Eledone massyae
Carcinus maenas,Eledone massyae
Munida gregaria,Eledone massyae
Polychaeta,Eledone massyae
Semirossia tenera,Eledone massyae
Amphipoda,Eleginops maclovinus
Bivalve,Eleginops maclovinus
Peltarion spinosulum,Eleginops maclovinus
isopods,Eleginops maclovinus
Macroalgae ,Eleginops maclovinus
Polychaeta,Eleginops maclovinus
Pterygosquilla armata armata,Eleginops maclovinus
Cyrtograpsus spp,Eleginops maclovinus
Copepoda,Engraulis anchoita
zooplankton,Engraulis anchoita
Amphipoda,Engraulis anchoita
Euphausiacea,Engraulis anchoita
Peisos petrunkevitchi,Engraulis anchoita
Bivalve,Enteroctopus megalocyathus
Betaeus truncatus,Enteroctopus megalocyathus
Amphipoda,Enteroctopus megalocyathus
Austrolycus laticinctus,Enteroctopus megalocyathus
Cyrtograpsus spp,Enteroctopus megalocyathus
chiton,Enteroctopus megalocyathus
Echiurids,Enteroctopus megalocyathus
Enteroctopus megalocyathus,Enteroctopus megalocyathus
Eunicidae,Enteroctopus megalocyathus
Helcogrammoides cunninghami,Enteroctopus megalocyathus
isopods,Enteroctopus megalocyathus
Leurocyclus tuberculosus,Enteroctopus megalocyathus
Munida gregaria,Enteroctopus megalocyathus
Nereididae,Enteroctopus megalocyathus
Patagonotothen spp,Enteroctopus megalocyathus
Peltarion spinosulum,Enteroctopus megalocyathus
Polychaeta,Enteroctopus megalocyathus
Stromateus brasiliensis,Enteroctopus megalocyathus
Carcinus maenas,Enteroctopus megalocyathus
Libinia spinosa,Enteroctopus megalocyathus
Peisos petrunkevitchi,Enteroctopus megalocyathus
Leucippa pentagona,Enteroctopus megalocyathus
Euphausiacea,Eubalaena australis
Munida gregaria,Eubalaena australis
detritus,Eunicidae
zooplankton,Euphausiacea
phytoplankton,Euphausiacea
detritus,Eurypodius latreillii
biofilm,Fissurella spp
Acanthistius patachonicus,Galeorhinus galeus
Cynoscion guatucupa,Galeorhinus galeus
Callorhinchus callorynchus,Galeorhinus galeus
Engraulis anchoita,Galeorhinus galeus
Illex argentinus,Galeorhinus galeus
Merluccius hubbsi,Galeorhinus galeus
Myliobatis goodei,Galeorhinus galeus
Mustelus schmitti,Galeorhinus galeus
Octopus tehuelchus,Galeorhinus galeus
Odontesthes spp,Galeorhinus galeus
Paralichthys spp,Galeorhinus galeus
Parona signata,Galeorhinus galeus
Percophis brasiliensis,Galeorhinus galeus
Pinguipes brasilianus,Galeorhinus galeus
Pseudopercis semifasciata,Galeorhinus galeus
Pleoticus muelleri,Galeorhinus galeus
Raneya spp,Galeorhinus galeus
Stromateus brasiliensis,Galeorhinus galeus
Sympterygia spp,Galeorhinus galeus
Trachurus lathami,Galeorhinus galeus
Doryteuthis sanpaulensis,Galeorhinus galeus
detritus,Gasteropods
Euphausiacea,Genypterus blacodes
isopods,Genypterus blacodes
Merluccius hubbsi,Genypterus blacodes
Munida gregaria,Genypterus blacodes
Polychaeta,Genypterus blacodes
Patagonotothen spp,Genypterus blacodes
Bivalve,Genypterus blacodes
Pterygosquilla armata armata,Genypterus blacodes
Raneya spp,Genypterus blacodes
Munida gregaria,Genypterus brasiliensis 
Pleoticus muelleri,Genypterus brasiliensis 
Pterygosquilla armata armata,Genypterus brasiliensis 
Genypterus blacodes,Genypterus brasiliensis 
Raneya spp,Genypterus brasiliensis 
Doryteuthis gahi,Globicephala melas edwardii
Amphipoda,Globicephala melas edwardii
Iluocoetes sp,Globicephala melas edwardii
Callorhinchus callorynchus,Globicephala melas edwardii
Eledone massyae,Globicephala melas edwardii
Enteroctopus megalocyathus,Globicephala melas edwardii
Illex argentinus,Globicephala melas edwardii
Merluccius hubbsi,Globicephala melas edwardii
Nereididae,Globicephala melas edwardii
Patagonotothen spp,Globicephala melas edwardii
Semirossia tenera,Globicephala melas edwardii
zooplankton,Gymnoscopelus nicholsi
Amphipoda,Helcogrammoides cunninghami
Bivalve,Helcogrammoides cunninghami
Gasteropods,Helcogrammoides cunninghami
isopods,Helcogrammoides cunninghami
Decapoda,Helcogrammoides cunninghami
detritus,Heterosquilla polydactyla
Polychaeta,Heterosquilla polydactyla
detritus,Holothurians
POM,Hydrozoa
Doryteuthis gahi,Illex argentinus
Amphipoda,Illex argentinus
Chaetognatha,Illex argentinus
Copepoda,Illex argentinus
Engraulis anchoita,Illex argentinus
Euphausiacea,Illex argentinus
Gasteropods,Illex argentinus
Gymnoscopelus nicholsi,Illex argentinus
Illex argentinus,Illex argentinus
Merluccius hubbsi,Illex argentinus
Munida gregaria,Illex argentinus
Patagonotothen spp,Illex argentinus
Porifera,Illex argentinus
Themisto gaudichaudii,Illex argentinus
Doryteuthis sanpaulensis,Illex argentinus
Amphipoda,Iluocoetes sp
Decapoda,Iluocoetes sp
isopods,Iluocoetes sp
phytoplankton,isopods
zooplankton,isopods
Doryteuthis gahi,Lagenorhynchus australis
Enteroctopus megalocyathus,Lagenorhynchus australis
Illex argentinus,Lagenorhynchus australis
Macruronus magellanicus,Lagenorhynchus australis
Munida gregaria,Lagenorhynchus australis
Myxine spp,Lagenorhynchus australis
Peltarion spinosulum,Lagenorhynchus australis
Salilota australis,Lagenorhynchus australis
Sprattus fuegensis,Lagenorhynchus australis
Cnidaria,Lagenorhynchus australis
Doryteuthis gahi,Lagenorhynchus obscurus
Engraulis anchoita,Lagenorhynchus obscurus
Illex argentinus,Lagenorhynchus obscurus
Merluccius hubbsi,Lagenorhynchus obscurus
Octopus tehuelchus,Lagenorhynchus obscurus
Odontesthes spp,Lagenorhynchus obscurus
Pleoticus muelleri,Lagenorhynchus obscurus
Semirossia tenera,Lagenorhynchus obscurus
Stromateus brasiliensis,Lagenorhynchus obscurus
Carcinus maenas,Larus atlanticus
Cyrtograpsus spp,Larus atlanticus
Glyceridae,Larus atlanticus
Leucippa pentagona,Larus atlanticus
Perumytilus purpuratus,Larus atlanticus
Engraulis anchoita,Larus dominicanus
Patagonotothen spp,Larus dominicanus
Acanthistius patachonicus,Larus dominicanus
Raneya spp,Larus dominicanus
Myxine spp,Larus dominicanus
Cyrtograpsus spp,Larus dominicanus
Pleoticus muelleri,Larus dominicanus
Peisos petrunkevitchi,Larus dominicanus
Munida gregaria,Larus dominicanus
isopods,Larus dominicanus
Heterosquilla polydactyla,Larus dominicanus
Nacella magellanica,Larus dominicanus
chiton,Larus dominicanus
Octopus tehuelchus,Larus dominicanus
Bivalve,Larus dominicanus
Gasteropods,Larus dominicanus
Eunicidae,Larus dominicanus
Nereididae,Larus dominicanus
detritus,Leucippa pentagona
Polychaeta,Leucippa pentagona
detritus,Leurocyclus tuberculosus
detritus,Libidoclaea granaria
detritus,Libinia spinosa
Doryteuthis gahi,Lithodes santolla
coralline red algae ,Lithodes santolla
echinoids,Lithodes santolla
isopods,Lithodes santolla
Munida gregaria,Lithodes santolla
Bivalve,Lithodes santolla
ophiuroids,Lithodes santolla
Peltarion spinosulum,Lithodes santolla
Pseudoechinus magellanicus,Lithodes santolla
Pterygosquilla armata armata,Lithodes santolla
Doryteuthis gahi,Macronectes giganteus
Decapoda,Macronectes giganteus
Illex argentinus,Macronectes giganteus
isopods,Macronectes giganteus
Macruronus magellanicus,Macronectes giganteus
Munida gregaria,Macronectes giganteus
Octopus tehuelchus,Macronectes giganteus
Peisos petrunkevitchi,Macronectes giganteus
Pleoticus muelleri,Macronectes giganteus
Raneya spp,Macronectes giganteus
Amphipoda,Macruronus magellanicus
Engraulis anchoita,Macruronus magellanicus
Euphausiacea,Macruronus magellanicus
Merluccius hubbsi,Macruronus magellanicus
Munida gregaria,Macruronus magellanicus
Pleoticus muelleri,Macruronus magellanicus
detritus,Majidae
Amphipoda,Merluccius hubbsi
Engraulis anchoita,Merluccius hubbsi
Euphausiacea,Merluccius hubbsi
Illex argentinus,Merluccius hubbsi
isopods,Merluccius hubbsi
Merluccius hubbsi,Merluccius hubbsi
Munida gregaria,Merluccius hubbsi
